UAI,Secteur,Nombre d'élèves,Latitude WGS84,Longitude WGS84,Niveau
0340147A,PUBLIC,199,43.311330285442,3.47391941209692,École
0340145Y,PUBLIC,164,43.3114253185982,3.46737991314509,École
0341437C,PUBLIC,90,43.3075567305455,3.47754943005107,École
0341438D,PUBLIC,122,43.3077046036028,3.47787955711546,École
0340150D,PUBLIC,17,43.3375122855667,2.85376004568653,École
0341748R,PUBLIC,20,43.331895037049,2.79587025221432,École
0341683V,PUBLIC,91,43.4593184314355,3.68726029293832,École
0340190X,PUBLIC,55,43.5535427400606,3.48631144095227,École
0340192Z,PUBLIC,192,43.3636226445498,3.41711817530223,École
0340225K,PUBLIC,73,43.3494650572164,3.21931005353357,École
0340231S,PUBLIC,174,43.3375527809523,3.22705020551789,École
0341159A,PRIVE,399,43.3463666997756,3.21306966744205,École
0341751U,PUBLIC,147,43.3395376113118,3.22988046658918,École
0341950K,PUBLIC,396,43.3428408202834,3.22306023083812,École
0341169L,PRIVE,461,43.3408768567877,3.22572969728471,École
0341951L,PUBLIC,278,43.3371868905144,3.22778947080418,École
0342295K,PUBLIC,332,43.3621961831558,3.22506973474592,École
0341660V,PUBLIC,110,43.3381331312846,3.25940996891273,École
0341739F,PRIVE,346,43.342419593905,3.24951939879032,École
0340233U,PUBLIC,246,43.3497661519419,3.23528486364537,École
0340235W,PUBLIC,126,43.3512369397333,3.21679950724318,École
0341886R,PRIVE,250,43.3496779592844,3.21946002339158,École
0340246H,PUBLIC,113,43.4503166819141,3.6560796860711,École
0341905L,PUBLIC,332,43.6415488193864,3.92185970604588,École
0340284Z,PUBLIC,61,43.4231363215765,3.02798017642481,École
0340290F,PUBLIC,51,43.4074586472735,2.97029003268122,École
0340292H,PUBLIC,206,43.3213071484642,3.30905031797928,École
0340302U,PUBLIC,351,43.6581726004409,3.8889101835252,École
0340304W,PUBLIC,338,43.6309384845646,3.43318953622194,École
0340312E,PUBLIC,146,43.3980680122792,3.19380954675031,École
0340322R,PUBLIC,121,43.3748381795711,3.00938015673078,École
0340327W,PUBLIC,95,43.3569442465358,2.94050023725247,École
0340812Y,PUBLIC,65,43.7191801456154,4.09810092203528,École
0341259J,PUBLIC,115,43.5496664260489,3.77742997681916,École
0340334D,PUBLIC,28,43.3317913016706,2.60139042832613,École
0340339J,PUBLIC,127,43.3850104774779,3.46419028624443,École
0340346S,PUBLIC,18,43.605971819704,2.79837948245297,École
0342045N,PUBLIC,186,43.4557053985004,3.75871994672591,École
0340348U,PUBLIC,170,43.4487527409985,3.75299958209486,École
0340840D,PUBLIC,160,43.446996889389,3.74892008406834,École
0341181Z,PRIVE,226,43.9327744753431,3.70968001797162,École
0342527M,PUBLIC,154,43.496284655006,3.71409145562423,École
0340360G,PUBLIC,258,43.5004696492905,3.71240068356073,École
0341250Z,PUBLIC,391,43.6459560007008,3.80055950249242,École
0341688A,PUBLIC,84,43.6625964323039,3.64397024188188,École
0340789Y,PUBLIC,88,43.6533766665189,3.14875960599168,École
0340241C,PUBLIC,117,43.6988917384824,3.37004009157034,École
0341439E,PUBLIC,42,43.6947744227019,3.1660604995376,École
0340324T,PUBLIC,295,43.6477036645061,3.9429695275941,École
0341339W,PUBLIC,110,43.6577237407289,3.94285052007738,École
0341501X,PUBLIC,62,43.7369450044251,3.32075989046793,École
0341076K,PUBLIC,203,43.4491933915604,3.61504254363689,École
0341298B,PUBLIC,167,43.671648379152,4.13831955619189,École
0341993G,PUBLIC,64,43.688151725334,4.12491052732271,École
0340417U,PUBLIC,218,43.678322801547,4.133940078876,École
0341772S,PUBLIC,159,43.670971343158,4.12598539991126,École
0341843U,PUBLIC,94,43.6872256993254,4.12439010311167,École
0341299C,PUBLIC,333,43.6774407207537,4.09647287884313,École
0341643B,PUBLIC,359,43.668167747107,4.17402947479034,École
0341188G,PRIVE,132,43.6646816143415,4.17760010651393,École
0341773T,PUBLIC,174,43.6212152491336,3.99960976898877,École
0340442W,PUBLIC,100,43.6149568053528,4.00662963589831,École
0342138P,PUBLIC,86,,,École
0340457M,PUBLIC,265,43.4801720064758,3.47998023856097,École
0342153F,PUBLIC,161,43.4825369203387,3.47824050014555,École
0340460R,PUBLIC,97,43.7511211650678,3.95570992893467,École
0341595Z,PUBLIC,92,43.3942952832853,3.36676033576597,École
0341300D,PUBLIC,155,43.3947713960496,3.3667004497745,École
0341446M,PUBLIC,102,,,École
0341303G,PUBLIC,106,43.5925611477226,3.86865026685737,École
0341445L,PUBLIC,154,43.6084010039091,3.83661000561776,École
0341845W,PUBLIC,185,43.5883299460531,3.86519061373568,École
0340953B,PUBLIC,167,43.6196178787462,3.84235963946343,École
0341195P,PRIVE,352,43.6096604520059,3.87122988425556,École
0341850B,PUBLIC,142,43.6189296200118,3.89152983306041,École
0340504N,PUBLIC,196,43.605040193242,3.88609960533669,École
0340977C,PUBLIC,231,43.6254338663309,3.81408345703328,École
0340549M,PUBLIC,50,43.6092448123187,3.87334985727395,École
0340843G,PUBLIC,156,43.6142250444607,3.89210940249644,École
0341262M,PUBLIC,123,43.6272687936205,3.81909052175551,École
0340531T,PUBLIC,149,43.6420452758617,3.85642054778446,École
0340841E,PUBLIC,86,43.6138606090302,3.89210992773996,École
0341689B,PUBLIC,119,43.6088671010008,3.88896980151845,École
0341889U,PRIVE,260,43.6051498682485,3.85796997390263,École
0342411L,PUBLIC,193,43.6003083211024,3.86076643941389,École
0340540C,PUBLIC,109,43.6050021556829,3.88646059649171,École
0342438R,PRIVE,110,43.600547717804,3.86053353772496,École
0341260K,PUBLIC,219,43.6274636664672,3.81961977616553,École
0340470B,PUBLIC,193,43.6170719917558,3.87452054189608,École
0340483R,PUBLIC,60,43.6101066581648,3.86832025141236,École
0340548L,PUBLIC,105,43.6105988188173,3.89788961969902,École
0341209E,PRIVE,429,43.6050138428027,3.85077973867403,École
0341021A,PUBLIC,107,43.6280489857733,3.81789014765391,École
0341908P,PUBLIC,222,43.62504262299,3.81537978138137,École
0340562B,PUBLIC,64,43.5336533409319,3.33351030836106,École
0340571L,PUBLIC,73,43.8260787856442,3.77457018923005,École
0341379P,PUBLIC,98,43.28494292025,2.72357441166797,École
0340579V,PUBLIC,55,43.4303046861933,3.18737306313031,École
0341221T,PRIVE,202,43.457746491311,3.42378952302677,École
0341411Z,PUBLIC,228,43.5583297288541,3.52711974798475,École
0500180Z,PUBLIC,113,49.6222004800694,-1.7213738230267,École
0501801L,PUBLIC,72,49.2039769778412,-1.1660449812327,École
0501281W,PUBLIC,107,48.5355332803264,-0.875679586547293,École
0501174E,PUBLIC,128,48.6638165990061,-1.37340049704519,École
0501658F,PUBLIC,218,49.2157446624623,-1.53015954112749,École
0501731K,PUBLIC,123,48.6440044508943,-0.941090658521891,École
0501474F,PUBLIC,71,48.5856454017654,-0.95609163907656,École
0500849B,PUBLIC,57,49.4218660681476,-1.45087044136604,École
0501357D,PRIVE,154,48.9184127590969,-1.18953034914751,École
0501539B,PUBLIC,21,48.629581105823,-1.35160005467232,École
0501425C,PUBLIC,41,49.0678731404119,-1.1991293488361,École
0501426D,PUBLIC,89,49.178521237698,-1.25481970171997,École
0500254E,PUBLIC,70,49.5055646026112,-1.59460048528443,École
0501623T,PUBLIC,82,48.9894014534423,-1.33590061971923,École
0500411A,PUBLIC,38,48.8035898477422,-1.50808035159825,École
0500741J,PUBLIC,64,48.544852969141,-1.38428094886614,École
0501276R,PUBLIC,179,48.5185611447029,-1.32634024688297,École
0501501K,PUBLIC,198,49.11127379845,-1.08618040218264,École
0500998N,PUBLIC,34,,,École
0501602V,PUBLIC,16,49.1203266945309,-1.00707057084393,École
0501381E,PRIVE,187,49.6660567462395,-1.39590063624234,École
0501692T,PUBLIC,50,49.6708223182028,-1.4050903167647,École
0500416F,PUBLIC,145,48.8251806126881,-1.52530982840374,École
0500632R,PUBLIC,69,49.5575393212746,-1.83824977313092,École
0501679D,PUBLIC,86,49.522805327996,-1.59521670318274,École
0501392S,PRIVE,50,48.972949987514,-1.06024065460283,École
0500571Z,PUBLIC,103,49.5824811951734,-1.72757939643497,École
0500573B,PUBLIC,185,49.5744677497665,-1.62623938039868,École
0501397X,PRIVE,29,48.6817383439582,-1.41400940341758,École
0500911U,PUBLIC,266,49.5101178322777,-1.47037040955239,École
0500929N,PUBLIC,98,48.8406361015867,-1.22388940132551,École
0611142K,PUBLIC,218,48.4370877537051,0.10508054443072,École
0611168N,PUBLIC,131,48.4344729086618,0.109709343118519,École
0611044D,PUBLIC,199,48.4160545960913,0.098240173098377,École
0611114E,PUBLIC,91,48.6981502104116,0.107379002526998,École
0610342R,PUBLIC,262,48.7454106616768,-0.0142102865044507,École
0610873T,PRIVE,268,48.7464958218123,-0.0126901080877424,École
0610857A,PRIVE,102,48.8096476114568,-0.498029790932734,École
0610359J,PUBLIC,71,48.6658029383874,-0.551540576940792,École
0610102E,PUBLIC,118,48.8155662213549,-0.241699794285886,École
0610369V,PUBLIC,79,48.6892222814958,-0.441401443289342,École
0610900X,PUBLIC,156,48.4350354554151,0.884679453836459,École
0610999E,PUBLIC,176,48.4344464489294,0.0361894405236182,École
0610915N,PUBLIC,108,48.6224290101746,0.35598992961346,École
0610433P,PUBLIC,44,48.9234090527054,0.138489789416792,École
0610574T,PUBLIC,120,48.5055304681725,0.093990290218286,École
0610688S,PUBLIC,38,48.5230736040122,0.136376435022974,École
0610449G,PUBLIC,102,48.5414634474278,0.244509817333109,École
0610851U,PRIVE,88,48.7402810933255,-0.59037013651073,École
0611257K,PRIVE,72,48.7935712609184,0.295299525928593,École
0610678F,PUBLIC,90,48.7478370132304,0.0137793343187126,École
0610459T,PUBLIC,133,48.4120962127291,-0.0288506429682603,École
0610502P,PUBLIC,114,48.7601217220777,-0.601220370449554,École
0610858B,PRIVE,80,48.5103216885632,0.354130368654637,École
0611144M,PUBLIC,193,48.5134053604494,0.356150485503401,École
0610862F,PRIVE,40,48.7014688492092,0.288389753200153,École
0610651B,PUBLIC,81,48.6216729741381,-0.413920044356766,École
0610980J,PUBLIC,60,48.6451322428173,-0.711260623162982,École
0610538D,PUBLIC,122,48.8153211153962,-0.570309749852908,École
0610893P,PRIVE,252,48.5204933686117,0.549750333867349,École
0610556Y,PUBLIC,97,48.7793441366353,-0.0723201323687229,École
0610848R,PRIVE,53,48.765767904861,-0.244196396504147,École
0611052M,PUBLIC,141,48.4574927340823,-0.0497005633420583,École
0610989U,PUBLIC,111,48.7125514475157,0.434869955604569,École
0610609F,PUBLIC,41,48.5327658613004,0.159640176016771,École
0610622V,PUBLIC,57,48.5610127733818,-0.733289890645571,École
0610804T,PUBLIC,57,48.8104880095791,-0.650993441262885,École
0610646W,PUBLIC,39,48.7893131829728,0.582489610674086,École
0610861E,PRIVE,201,48.6075363815604,0.172339815429274,École
0610793F,PUBLIC,53,48.5982311511904,0.172299601403709,École
0610593N,PUBLIC,46,48.7187131002475,-0.723350590862275,École
0610670X,PUBLIC,125,48.7640384456918,-0.732909539997617,École
0610577W,PUBLIC,101,48.647804584204,0.67218956562396,École
0610686P,PUBLIC,142,48.9295663458378,0.194930334458872,École
0762520B,PUBLIC,101,49.4014179148513,1.13114684397117,École
0761038R,PUBLIC,97,49.6586682735288,0.983385554579618,École
0761395D,PUBLIC,17,49.8300499593881,0.793195866553646,École
0760643L,PUBLIC,54,49.6325714922109,0.235966612669474,École
0761892U,PUBLIC,110,49.4787011789079,0.767538134298244,École
0762901R,PUBLIC,76,49.4787011789079,0.767538134298244,École
0761879E,PUBLIC,219,49.7727007633458,1.74910106805094,École
0760434J,PUBLIC,77,49.4428072812204,1.31083936402605,École
0760934C,PUBLIC,84,49.5450380135021,0.955187125229982,École
