dataset_id;title;domain_id;modified;publisher;license;keyword;theme;Reuse count;API call count;Download count;Attachments download count;File fields download count;Popularity score;records_count;records_size;security;visibility;federated
donnees-ips-erea;dataviz4;dataeducation;2010-01-01;DEPP – Ministère en charge de l’éducation nationale;Licence Ouverte v2.0 (Etalab);hors catalogue;;0;348;373;0;0;1.6;706;183425;;domain;False
donnees-ips-ecoles;dataviz3;dataeducation;2010-01-01;DEPP – Ministère en charge de l’éducation nationale;Licence Ouverte v2.0 (Etalab);hors catalogue;;0;190550;1004;0;0;15.8;279318;77729537;;domain;False
donnees-ips-lycees;dataviz1;dataeducation;2010-01-01;DEPP – Ministère en charge de l’éducation nationale;Licence Ouverte v2.0 (Etalab);hors catalogue;;0;21117;464;0;0;5.8;32618;7855115;;domain;False
fr-en-effectifs-second-degre;Effectifs d'élèves des établissements du second degré public et privé sous tutelle du ministère en charge de l'éducation nationale - Obsolète;dataeducation;2016-12-02;DEPP – Ministère en charge de l’éducation nationale;Licence Ouverte v2.0 (Etalab);démographie scolaire,effectifs,élèves,second degré,obsolète,hors catalogue;Elèves, étudiants, et apprentis;0;4231261;26955;0;0;75.1;57130;10449400;;domain;False
fr-en-origine-scolaire-etudiants-cpge;Origine scolaire des étudiants entrant en première année de CPGE;dataeducation;2018-03-23;DNE - Ministère de l'Education Nationale;Licence Ouverte v2.0 (Etalab);EPLE,post-bac,lycée;Elèves, étudiants, et apprentis,Parcours et insertion professionnelle;0;35733;5723;0;0;10.2;36;2273;;domain;False
fr-en-reseau-education-prioritaire-colleges;Réseau d'éducation prioritaire des collèges;dataeducation;2018-10-01;Ministère de l'Éducation nationale;Licence Ouverte v2.0 (Etalab);;Politique éducative (dont éducation prioritaire);0;116183;8092;0;0;15.8;5610;1282423;;domain;False
apb-voeux-de-poursuite-detude-et-admissions;APB Voeux de poursuite d'étude et admissions;dataeducation;2019-02-08;Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation > Sous-direction des Systèmes d'information et études statistiques;Licence Ouverte v2.0 (Etalab);éducation,orientation,enseignement supérieur,étudiants,APB,formations,formation,STS,CPGE,DUT,licence,UAI,boursiers,boursier,endo-recrutement,rang,admis,admissibles,places,voeux,demande,offre,établissement,établissements,PACES,capacité,propositions,proposition,vœu,vœux,voeu,BTS,école de commerce,CPGE intégrée à l'université,DEUST,DCG;Enseignements (dont formation, spécialité, langue, sport),Parcours et insertion professionnelle;0;52947;6581;1900;0;11.8;17753;6177868;;domain;True
fr-en-iva-classe-sortie;IVA situation en fonction de la classe de sortie – Enquête cessée depuis 2020;dataeducation;2020-07-02;DEPP – Ministère en charge de l’éducation nationale;Licence Ouverte v2.0 (Etalab);établissements,insertion,formation professionnelle,élèves,lycéens,lycée professionnel;Etablissements (dont IPS);0;27629;6010;0;0;9.5;72;5655;;domain;False
fr-en-ipa-classe-sortie;IPA situation en fonction de la classe de sortie – Enquête cessée depuis 2020;dataeducation;2020-07-02;DEPP – Ministère en charge de l’éducation nationale;Licence Ouverte v2.0 (Etalab);établissements,insertion,formation professionnelle,élèves,apprentis,centre de formation d’apprentis,apprentissage,CFA;Etablissements (dont IPS);0;28019;5902;0;0;9.5;90;8101;;domain;False
dataviz-a-la-une;dataviz-list;dataeducation;2020-12-14;;;hors catalogue;;0;1316208;2850;0;0;39.8;30;12000;;domain;False
retours-formulaire-votre-avis-datasets-attendus;Retours formulaire - votre avis - Datasets attendus;dataeducation;2023-04-04;;;;;0;25565;3475;0;0;8.3;0;0;;domain;False
fr-en-dataes-activites;Data ES - Liste des Activités;dataeducation;2023-09-04;Ministère des Sports;LICENCE OUVERTE 2.0;Sport,DataES,Référence,Activités;Références;0;8728;3464;0;0;6.2;242;12800;;domain;True
paris-2024-boutiques-officielles;Paris 2024 - Boutiques officielles;dataeducation;2024-06-27;Ministère des Sports;Licence Ouverte v2.0 (Etalab);Boutiques officielles;Sport, jeunesse et vie associative;0;6311;5796;0;0;6.7;149;68100;;domain;False
paris-2024-entrees-ceremonie-d-ouverture-olympique;Paris 2024 - Entrées Cérémonie d'ouverture Olympique;dataeducation;2024-07-12;Ministère des Sports;Licence Ouverte v2.0 (Etalab);;Sport, jeunesse et vie associative;0;4663;3506;0;0;5.4;38;4075;;domain;False
paris-2024-parkings-pfr-taxi-ts;Paris 2024 - Parkings PFR + taxi + TS;dataeducation;2024-09-11;Ministère des Sports;Licence Ouverte v2.0 (Etalab);transport,mobilité,spectateurs,PFR,PSH;Sport, jeunesse et vie associative;0;4980;3136;0;0;5.3;230;76306;;domain;False
cartes-des-sites-poi-fr;Cartes des sites - Venues POI (FR);dataeducation;2024-09-13;Ministère des Sports;Licence Ouverte v2.0 (Etalab);WEMAP;Sport, jeunesse et vie associative;0;3269;1429;0;0;3.9;3464;972603;;domain;False
paris-2024-lignes-para-dds;Paris 2024 - Lignes PARA DDS;dataeducation;2024-10-01;Ministère des Sports;Licence Ouverte v2.0 (Etalab);transport,mobilité,accrédités,DDS,OBS;Sport, jeunesse et vie associative;0;4270;3785;0;0;5.4;110;731694;;domain;False
paris-2024-lignes-para-tf;Paris 2024 - Lignes PARA TF;dataeducation;2024-10-01;Ministère des Sports;Licence Ouverte v2.0 (Etalab);transport,accrédités,mobilité,TF;Sport, jeunesse et vie associative;0;4790;2664;0;0;5.0;93;1168095;;domain;False
paris-2024-flux-pietons-accredites;Paris 2024 - Flux piétons accrédités;dataeducation;2024-10-01;Ministère des Sports;Licence Ouverte v2.0 (Etalab);transport,mobilité,accrédités;Sport, jeunesse et vie associative;0;6353;3405;0;0;5.7;184;73200;;domain;False
paris-2024-psa-snm;Paris 2024 - PSA spectateurs;dataeducation;2024-10-04;Ministère des Sports;Licence Ouverte v2.0 (Etalab);;Sport, jeunesse et vie associative;0;7204;7123;0;0;7.3;204;30834;;domain;False
fr-en-remplacement-second-degre;Le remplacement des professeurs absents dans l'enseignement public du second degré;dataeducation;2024-11-20;DGRH - Ministère de l'éducation nationale;Licence Ouverte v2.0 (Etalab);remplacement,enseignements,ressources humaines,second degré;Ressources humaines,Enseignements (dont formation, spécialité, langue, sport),Organisation du système scolaire;0;5874;1819;36;0;4.8;30;1019;;domain;False
fr-en-aap-snee-collectivites;Appel à projet Socle Numérique dans les Ecoles Elémentaires - par collectivité;dataeducation;2024-11-27;;;snee,collectivités,plan de relance;;0;7526;1724;0;0;5.0;6870;1466600;;domain;False
fr-en-centres-et-etablissements-labellises-label-qualite-francais-langue-etrange;"Centres et établissements labellisés ""Label qualité français langue étrangère""";dataeducation;2025-02-14;France Éducation international;Licence Ouverte v2.0 (Etalab);français langue étrangère,label;Etablissements (dont IPS);0;8548;2766;0;0;5.8;110;25988;;domain;False
fr-en-inserjeunes-lycee_pro_agri;Inserjeunes Voie professionnelle scolaire agricole par établissement relevant du ministère de l'agriculture;dataeducation;2025-03-04;DEPP – Ministère en charge de l’éducation nationale;Licence Ouverte v2.0 (Etalab);établissements,formation professionnelle,élèves,lycéens,lycée professionnel,insertion professionnelle,poursuite d'études,inserjeunes;Elèves, étudiants, et apprentis;0;3244;1052;0;0;3.6;1617;221764;;domain;False
fr-en-futurpro-indicateurs-formation-etablissement;Futur pro - indicateurs formation/établissement;dataeducation;2025-12-11;;;;;0;5862;236;0;0;3.3;29707;19373539;;domain;False
fr-en-effectifs-etudiants-cpge-par-annee-et-par-sexe;Effectifs d’étudiants en CPGE par année et par sexe;dataeducation;2026-01-29;DNE - Ministère de l'Education Nationale;Licence Ouverte v2.0 (Etalab);EPLE,post-bac,lycée;Elèves, étudiants, et apprentis,Etablissements (dont IPS);0;67861;14173;0;0;14.8;144;12545;;domain;False
fr-en-sante-enfants-grande-section-et-cm2;La santé des enfants en grande section de maternelle et en CM2;dataeducation;2026-01-29;Ministère de l'Éducation nationale;Licence Ouverte v2.0 (Etalab);santé,école,élèves,bilan santé;Elèves, étudiants, et apprentis;0;65616;6897;0;0;12.7;196;25422;;domain;False
fr-en-diplomes-etablissements-secondaire;Diplômes préparés dans les établissements du secondaire et formations intermédiaires;dataeducation;2026-01-29;DNE - Ministère de l'Education Nationale;Licence Ouverte v2.0 (Etalab);lycées,lycées professionnels,collèges;Etablissements (dont IPS),Diplômes et examens;0;85454;8348;0;0;14.3;3381;1152270;;domain;False
fr-en-livre-or-1914-1918;"Première Guerre Mondiale 1914-1918 ""Livre d’or des personnels de l’instruction publique et des Beaux-arts""";dataeducation;2026-01-29;DGESCO - Ministère de l'éducation nationale;Licence Ouverte v2.0 (Etalab);enseignants,élèves,personnels;Elèves, étudiants, et apprentis;0;99311;6036;0;0;14.3;17144;7544347;;domain;False
fr-en-carto-pro-reussite-aux-examens;Réussite aux examens de la voie professionnelle;dataeducation;2026-01-29;DGESCO - Ministère de l'éducation nationale;Licence Ouverte v2.0 (Etalab);taux de réussite,examen,professionnel,voie professionnelle,formation professionnelle;Diplômes et examens;0;95234;6202;0;0;14.2;1615;392293;;domain;False
fr-en-cnr-base-nefle;Ecoles et établissements engagés dans la démarche du CNR Education;dataeducation;2026-01-29;DGESCO - Ministère de l'éducation nationale;Licence Ouverte v2.0 (Etalab);;Etablissements (dont IPS),Politique éducative (dont éducation prioritaire);0;653071;5163;0;0;29.9;6024;79414240;;domain;False
fr-en-programmes-mobilite-enseignante-fei;Programmes de mobilité enseignante gérés par France Éducation international;dataeducation;2026-01-29;France Éducation international;Licence Ouverte v2.0 (Etalab);enseignant,enseignement des langues,mobilité,formation continue;Enseignements (dont formation, spécialité, langue, sport);0;4520;878;0;0;3.8;35;2433;;domain;False
