Patronyme,patronyme_prepare
ALEXANDRE VARENNE,ALEXANDRE VARENNE
-,""
EX GARCONS,EX GARCONS
,
ECOLE PRIMAIRE,""
EDITH BUSSERON,EDITH BUSSERON
SIMONE VEIL,SIMONE VEIL
MARIE CURIE,MARIE CURIE
ANNE SYLVESTRE,ANNE SYLVESTRE
JEAN BURLAUD,JEAN BURLAUD
LES ARLOINGS,LES ARLOINGS
JEAN GIRAUDOUX,JEAN GIRAUDOUX
VICTOR HUGO,VICTOR HUGO
GEORGE SAND,GEORGE SAND
MALCOURLET,MALCOURLET
J.CH.VARENNES,J.CH.VARENNES
JEAN ROSTAND HENRI WALLON,JEAN ROSTAND HENRI WALLON
MAURICE CAREME,MAURICE CAREME
LES CHAMPINS,LES CHAMPINS
FRANCOISE DOLTO,FRANCOISE DOLTO
ST-EXUPERY,STEXUPERY
ECOLE HENRI MATISSE,HENRI MATISSE
SAINT-EXUPERY,SAINTEXUPERY
JEANNE D'ARC,JEANNE D'ARC
JULES FERRY,JULES FERRY
JACQUES PREVERT,JACQUES PREVERT
LA JORDANNE,LA JORDANNE
PAUL DOUMER,PAUL DOUMER
PRAT LONG CHALIERS,PRAT LONG CHALIERS
LES GRANGES DE LANOBRE,LES GRANGES DE LANOBRE
LASCELLE,LASCELLE
INSTITUTION NOTRE DAME,NOTRE DAME
MICHEL DURIOL,MICHEL DURIOL
SOUS LES VIGNES,SOUS LES VIGNES
R. SCHUMAN,R. SCHUMAN
LES ECOCCINELLES,LES ECOCCINELLES
GROSSFELD,GROSSFELD
IRENE CURIE,IRENE CURIE
MARCEL DAUENDORFFER,MARCEL DAUENDORFFER
PETITE SAISON,PETITE SAISON
COTE DES ROSES,COTE DES ROSES
BICULTURELLE SAINT PIERRE,BICULTURELLE SAINT PIERRE
POINCARE,POINCARE
LE COLOMBIER,LE COLOMBIER
LES CRAYONS MAGIQUES,LES CRAYONS MAGIQUES
P. VERLAINE,P. VERLAINE
J. FERRY,J. FERRY
EBERSBORN,EBERSBORN
LA FARANDOLE,LA FARANDOLE
INTERCONFESSIONNELLE,INTERCONFESSIONNELLE
PAUL FLICKINGER,PAUL FLICKINGER
AMBROISE THOMAS,AMBROISE THOMAS
LE PATURAL,LE PATURAL
LE PETIT PRINCE,LE PETIT PRINCE
SAINT EXUPERY,SAINT EXUPERY
ECOLE MATERNELLE BICULTURELLE,BICULTURELLE
LES PETITS CASTORS,LES PETITS CASTORS
DES QUATRE FEUILLES,DES QUATRE FEUILLES
CENTRE J. PREVERT,J. PREVERT
J-Y. COUSTEAU,JY. COUSTEAU
SAINT ELOY LES COCCINELLES,SAINT ELOY LES COCCINELLES
LE TRAIN DU ROI,LE TRAIN DU ROI
ST ELOY P. ET M. CURIE,ST ELOY P. ET M. CURIE
LE CHAMBOURG,LE CHAMBOURG
J. PREVERT,J. PREVERT
ROBERT SCHUMAN,ROBERT SCHUMAN
PASTEUR,PASTEUR
MATERNELLE - ALLARMONT,ALLARMONT
LE SOUCHE - ANOULD,LE SOUCHE  ANOULD
CENTRE - ARCHES,ARCHES
CENTRE NICOLE HERRY - CLEFCY,NICOLE HERRY  CLEFCY
PRIMAIRE - BASSE-SUR-LE-RUPT,BASSESURLERUPT
VICTOR HUGO - BAUDRICOURT,VICTOR HUGO  BAUDRICOURT
ÉLÉMENTAIRE - BAYÉCOURT,BAYÉCOURT
ELEMENTAIRE - BEGNECOURT,BEGNECOURT
ÉLÉMENTAIRE - BELMONT/BUTTANT,BELMONT/BUTTANT
ELEMENTAIRE - BELMONT VAIR,BELMONT VAIR
ÉLÉMENTAIRE - BERTRIMOUTIER,BERTRIMOUTIER
PRIMAIRE - BULT,BULT
MATERNELLE - CHAMAGNE,CHAMAGNE
JULIA COLIN - CHANTRAINE,JULIA COLIN  CHANTRAINE
DOCTEUR MALGAIGNE - CHARMES,DOCTEUR MALGAIGNE  CHARMES
ELEMENTAIRE JULIE-V DAUBIE,JULIEV DAUBIE
JEAN VIROT - CHATENOIS,JEAN VIROT  CHATENOIS
ELEMENTAIRE - CHAUMOUSEY,CHAUMOUSEY
PRIMAIRE - CHAVELOT,CHAVELOT
PRIMAIRE - CHENIMENIL,CHENIMENIL
PRIMAIRE - COLROY-LA-GRANDE,COLROYLAGRANDE
CENTRE - CORNIMONT,CORNIMONT
ÉLÉMENTAIRE - DAMAS-AUX-BOIS,DAMASAUXBOIS
PRIMAIRE - DAMBLAIN,DAMBLAIN
LOUIS POIROT - DINOZE,LOUIS POIROT  DINOZE
ELEMENTAIRE - DOMMARTIN-LES-RT,DOMMARTINLESRT
PRIMAIRE - DOMPAIRE,DOMPAIRE
ÉLÉMENTAIRE - DOMPIERRE,DOMPIERRE
FANNY SALMON - ELOYES,FANNY SALMON  ELOYES
CHAMPBEAUVERT - EPINAL,CHAMPBEAUVERT  EPINAL
EUGENE ROSSIGNOL - EPINAL,EUGENE ROSSIGNOL  EPINAL
LUC ESCANDE - EPINAL,LUC ESCANDE  EPINAL
MAURICE RAVEL - EPINAL,MAURICE RAVEL  EPINAL
PAUL EMILE VICTOR - EPINAL,PAUL EMILE VICTOR  EPINAL
AMBRAIL - EPINAL,AMBRAIL  EPINAL
VICTOR HUGO - EPINAL,VICTOR HUGO  EPINAL
149EME RI - EPINAL,149EME RI  EPINAL
GUILGOT - EPINAL,GUILGOT  EPINAL
EMILE DURKHEIM - EPINAL,EMILE DURKHEIM  EPINAL
MATERNELLE - FAUCONCOURT,FAUCONCOURT
DES PETITS ERUDITS - FRESSE M.,DES PETITS ERUDITS  FRESSE M.
ÉLÉMENTAIRE - FRIZON,FRIZON
BAS BEILLARD - GÉRARDMER,BAS BEILLARD  GÉRARDMER
PRIMAIRE - GIRMONT,GIRMONT
CENTRE - GOLBEY,GOLBEY
BEAULIEU - GOLBEY,BEAULIEU  GOLBEY
PRIMAIRE - GRAND,GRAND
JOSEPH PIROUX - HADIGNY-LES-V.,JOSEPH PIROUX  HADIGNYLESV.
ÉLÉMENTAIRE - HAILLAINVILLE,HAILLAINVILLE
PRIMAIRE - HENNECOURT,HENNECOURT
CENTRE - HENNEZEL,HENNEZEL
PRIMAIRE - HOUECOURT,HOUECOURT
PRIMAIRE - HOUSSERAS,HOUSSERAS
CENTRE - JEANMENIL,JEANMENIL
PRIMAIRE - JEUXEY,JEUXEY
PRE DES MOINES - LA PETITE-RAO,PRE DES MOINES  LA PETITERAO
CENTRE - LA VOIVRE,LA VOIVRE
PRIMAIRE - LE CLERJUS,LE CLERJUS
AIME CHEVRIER - LE MENIL,AIME CHEVRIER  LE MENIL
ÉLÉMENTAIRE - LE PUID,LE PUID
MATERNELLE - LES FORGES,LES FORGES
CENTRE - MIRECOURT,MIRECOURT
