Patronyme,patronyme_prepare,domaine d'activité,image,langue maternelle,lieu de mort,lieu de naissance,occupation,pays de nationalité,sexe ou genre,date de naissance,date de mort
ALEXANDRE VARENNE,Alexandre Varenne,,Alexandre Varenne.jpg,,5e arrondissement de Paris,Clermont-Ferrand,personnalité politique,France,masculin,1870-10-03T00:00:00Z,1947-02-16T00:00:00Z
-,,,,,,,,,,,
EX GARCONS,EX GARCONS,,,,,,,,,,
ECOLE PRIMAIRE,,,,,,,,,,,
EDITH BUSSERON,EDITH BUSSERON,,,,,,,,,,
SIMONE VEIL,Simone Veil,politique,"Simone Veil, gymnase Japy 2008 02 27 n3 ret.jpg",français,Paris,Nice,personnalité politique,France,féminin,1927-07-13T00:00:00Z,2017-06-30T00:00:00Z
MARIE CURIE,Marie Curie,radioactivité,Marie Curie (1900) (cropped).jpg,polonais,sanatorium de Sancellemoz,Varsovie,physicien ou physicienne,Deuxième République de Pologne,féminin,1867-11-07T00:00:00Z,1934-07-04T00:00:00Z
ANNE SYLVESTRE,Anne Sylvestre,composition,Fanclub1965AnneSylvestre.jpg,français,Neuilly-sur-Seine,6e arrondissement de Lyon,auteur-compositeur-interprète ou autrice-compositrice-interprète,France,féminin,1934-06-20T00:00:00Z,2020-11-30T00:00:00Z
JEAN BURLAUD,JEAN BURLAUD,,,,,,,,,,
LES ARLOINGS,LES ARLOINGS,,,,,,,,,,
JEAN GIRAUDOUX,Jean Giraudoux,belles-lettres,Jean Giraudoux 1927.jpg,français,Paris,Bellac,dramaturge,France,masculin,1882-10-29T00:00:00Z,1944-01-31T00:00:00Z
VICTOR HUGO,Victor Hugo,écriture créative et professionnelle,Victor Hugo by Étienne Carjat 1876 - full.jpg,français,Paris,Besançon,personnalité politique,France,masculin,1802-02-26T00:00:00Z,1885-05-22T00:00:00Z
GEORGE SAND,George Sand,,George Sand.PNG,français,Nohant-Vic,ancien 6e arrondissement de Paris,écrivain ou écrivaine,France,féminin,1804-07-01T00:00:00Z,1876-06-08T00:00:00Z
MALCOURLET,MALCOURLET,,,,,,,,,,
J.CH.VARENNES,J.CH.VARENNES,,,,,,,,,,
JEAN ROSTAND HENRI WALLON,JEAN ROSTAND HENRI WALLON,,,,,,,,,,
MAURICE CAREME,Maurice Carême,belles-lettres,CAREME 5 - photo Burny bw.jpg,français,Anderlecht,Wavre,poète ou poétesse,Belgique,masculin,1899-05-12T00:00:00Z,1978-01-13T00:00:00Z
LES CHAMPINS,LES CHAMPINS,,,,,,,,,,
